fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
08115,279.5,54.7,9.0
08117,76.6,55.0,7.2
08119,241.9,72.3,7.1
08121,246.6,67.2,8.2
08123,235.5,58.8,9.3
08125,279.1,53.8,9.2
09001,249.5,48.4,
09003,283.2,52.5,
09005,267.0,54.8,
09007,276.5,53.2,
09009,280.2,63.0,
09011,280.0,53.6,
09013,297.4,54.0,
09015,332.8,54.1,
09110,,,9.2
09120,,,9.2
09130,,,7.3
09140,,,8.8
09150,,,8.0
09160,,,7.9
09170,,,9.2
09180,,,8.8
09190,,,7.4
10001,341.7,98.9,12.4
10003,291.6,111.2,10.7
10005,305.5,81.4,9.8
11001,352.3,77.9,8.5
12001,243.2,82.7,11.2
12003,317.0,106.0,11.0
12005,348.6,64.2,10.0
12007,307.2,90.3,12.4
12009,306.7,93.5,10.0
12011,264.9,109.3,11.4
12013,359.1,74.9,12.8
12015,217.0,57.0,9.8
12017,399.9,124.7,10.2
12019,278.4,107.0,10.3
12021,161.4,86.0,9.5
12023,301.9,95.5,12.4
12027,224.3,50.7,14.7
12029,302.2,83.7,12.3
12031,330.5,108.6,11.8
12033,333.8,106.7,11.4
12035,279.3,95.3,9.3
12037,340.9,90.9,11.2
12039,315.0,92.9,15.6
12041,271.0,85.7,10.2
12043,240.5,65.6,14.4
12045,348.7,65.4,10.9
12047,326.4,95.4,14.7
12049,283.1,136.3,14.4
12051,331.0,86.7,16.1
12053,335.2,66.2,11.2
12055,290.5,101.1,12.6
12057,311.9,66.5,11.5
12059,521.0,85.8,11.9
12061,262.8,98.0,9.5
12063,386.2,72.8,13.1
12065,306.4,78.0,12.2
12067,385.4,85.8,12.8
12069,297.7,81.9,10.9
12071,214.4,49.1,10.8
12073,281.5,76.5,11.3
12075,345.4,99.4,11.9
12077,326.7,77.4,13.0
12079,391.5,91.9,13.3
12081,247.6,55.8,10.1
12083,398.3,45.6,10.9
12085,216.4,91.0,9.4
12086,278.2,101.9,13.3
12087,239.3,72.0,9.7
12089,311.4,97.5,8.6
12091,288.6,92.3,9.6
12093,357.6,82.9,12.8
12095,281.4,105.4,11.5
12097,297.9,108.7,12.7
12099,243.2,74.8,10.6
12101,306.6,71.6,10.3
12103,272.4,64.9,9.8
12105,301.9,108.9,11.8
12107,313.8,76.8,13.4
12109,216.5,64.0,8.2
12111,262.9,108.6,11.2
12113,302.5,98.4,9.3
12115,210.8,54.1,8.4
12117,254.7,115.3,9.8
12119,248.9,56.6,9.1
12121,338.2,95.2,11.9
12123,357.9,86.9,12.8
12125,512.5,94.2,12.9
12127,336.3,100.5,10.3
12129,323.4,84.4,10.8
12131,276.9,74.0,9.7
12133,468.6,81.9,12.6
13001,421.2,88.8,14.6
13003,478.5,108.5,16.5
13005,486.0,97.8,13.0
