fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
51730,60.0,26
12123,60.0,20
21035,59.9,29
39065,59.9,23
21125,59.9,49
29065,59.8,14
18165,59.8,13
05129,59.8,9
18125,59.7,11
21097,59.7,16
21063,59.6,7
26051,59.6,30
31173,59.6,4
39131,59.6,24
46087,59.6,4
18175,59.5,24
21217,59.5,21
40005,59.3,12
40033,59.3,5
51173,59.2,30
47095,59.2,5
54047,59.1,18
40069,59.1,8
21183,59.1,19
21153,59.1,10
40111,59.0,30
26143,59.0,30
05013,59.0,5
21061,58.9,12
28083,58.8,19
05071,58.8,20
12047,58.8,12
18065,58.8,43
47005,58.8,16
47045,58.8,30
29023,58.8,36
05127,58.7,9
05019,58.7,16
21011,58.7,10
18115,58.6,6
02180,58.6,4
37153,58.6,35
26079,58.5,17
29105,58.5,30
17057,58.5,30
37177,58.4,4
26129,58.4,25
21027,58.3,18
40063,58.3,11
29205,58.0,6
21045,58.0,15
05121,57.9,16
21099,57.9,15
47029,57.9,35
21221,57.8,14
54103,57.8,14
22049,57.8,14
29133,57.7,10
45069,57.7,22
21001,57.6,16
39059,57.6,34
26039,57.6,15
18049,57.5,18
01061,57.5,23
01019,57.5,25
54065,57.5,18
18133,57.5,29
05021,57.5,14
28143,57.4,6
29175,57.4,19
47123,57.4,43
40107,57.4,9
47167,57.4,42
47077,57.3,24
47049,57.3,18
05083,57.3,19
20021,57.3,17
12059,57.2,18
45025,57.2,36
40095,57.1,15
18007,57.1,7
13213,57.1,29
47003,57.1,34
29063,57.0,9
40085,57.0,8
40133,57.0,19
13079,57.0,10
45087,56.9,25
40023,56.9,12
45061,56.9,13
26119,56.9,11
28011,56.8,22
28027,56.8,16
47181,56.8,14
05135,56.7,19
28039,56.7,16
47137,56.6,6
28151,56.6,34
19177,56.6,7
05089,56.6,19
26135,56.6,10
17069,56.6,4
18053,56.5,54
47139,56.5,16
17025,56.4,11
47069,56.3,20
29159,56.2,32
18055,56.2,26
21157,56.2,30
54099,56.1,35
54019,56.1,36
26069,56.1,29
23025,56.1,48
48385,56.0,3
01059,56.0,23
17121,56.0,31
29003,56.0,15
51183,55.9,9
27159,55.9,12
13055,55.8,20
22053,55.8,24
22003,55.8,15
22001,55.7,40
17051,55.7,17
17135,55.7,24
47117,55.6,26
20013,55.6,8
05055,55.6,33
39067,55.5,14
12041,55.5,17
40129,55.5,3
54053,55.5,23
54025,55.5,31
40101,55.5,49
22037,55.5,16
47073,55.5,52
40121,55.4,36
12107,55.4,71
40125,55.4,52
05137,55.4,14
47061,55.4,12
05035,55.3,30
47151,55.2,16
40079,55.2,37
47085,55.2,17
54073,55.2,6
28107,55.1,24
21079,55.1,14
48119,55.1,5
46019,55.1,8
47021,55.1,29
05049,55.1,13
12075,55.0,46
47109,55.0,22
17127,54.9,12
51147,54.9,14
47031,54.8,43
