outcome,predictor,n,std_beta,p_value,r_squared_full_model
heart_disease_death_rate,long_commute_pct,1921,0.07073244844595615,0.0006641210159156634,0.47241079306095735
stroke_death_rate,median_household_income,1921,0.013738709631040994,0.7419521336072069,0.27299760863652156
stroke_death_rate,income_inequality_ratio,1921,0.03753134523304021,0.18924288616619653,0.27299760863652156
stroke_death_rate,unemployment_pct,1921,-0.13921540689306333,2.4140751793616314e-08,0.27299760863652156
stroke_death_rate,child_poverty_pct,1921,0.3526985802526787,1.082918274814767e-15,0.27299760863652156
stroke_death_rate,hs_completion_pct,1921,-0.057766387893293414,0.07297016317213716,0.27299760863652156
stroke_death_rate,broadband_access_pct,1921,0.020699664074395475,0.5042448324250841,0.27299760863652156
stroke_death_rate,uninsured_pct,1921,-0.013362910124012004,0.6133871991203923,0.27299760863652156
stroke_death_rate,pop_per_pcp,1921,0.010356433782220615,0.6881101313214846,0.27299760863652156
stroke_death_rate,pop_per_mental_health_provider,1921,-0.042222743819665814,0.07803735133099307,0.27299760863652156
stroke_death_rate,pm25,1921,0.20419246497134494,2.8455380250006185e-21,0.27299760863652156
stroke_death_rate,severe_housing_problems_pct,1921,-0.12204437585537962,2.9643637864212317e-06,0.27299760863652156
stroke_death_rate,food_environment_index,1921,-0.19821242537047162,6.43732050796016e-10,0.27299760863652156
stroke_death_rate,long_commute_pct,1921,0.12163302325121675,6.427422089738189e-07,0.27299760863652156
diabetes_prevalence_pct,median_household_income,1765,-0.017429005430099145,0.4783873403168949,0.7674213372481635
diabetes_prevalence_pct,income_inequality_ratio,1765,0.08379009233732221,6.612853383861691e-07,0.7674213372481635
diabetes_prevalence_pct,unemployment_pct,1765,-0.10170129090990158,1.422655665056842e-12,0.7674213372481635
diabetes_prevalence_pct,child_poverty_pct,1765,0.4983889640263789,4.652420720160947e-77,0.7674213372481635
diabetes_prevalence_pct,hs_completion_pct,1765,-0.30591971912932553,4.884434918512367e-54,0.7674213372481635
diabetes_prevalence_pct,broadband_access_pct,1765,-0.004576666149178195,0.8065585099346014,0.7674213372481635
diabetes_prevalence_pct,uninsured_pct,1765,-0.0247618566817662,0.12051151363683582,0.7674213372481635
diabetes_prevalence_pct,pop_per_pcp,1765,0.025453530057414405,0.10708236726014064,0.7674213372481635
diabetes_prevalence_pct,pop_per_mental_health_provider,1765,-0.0998696621255266,3.151004297823579e-11,0.7674213372481635
diabetes_prevalence_pct,pm25,1765,0.048527802857273934,0.00013821297277737075,0.7674213372481635
diabetes_prevalence_pct,severe_housing_problems_pct,1765,-0.002583225802022546,0.8710705323857698,0.7674213372481635
diabetes_prevalence_pct,food_environment_index,1765,-0.14638551574477277,1.0326832405233863e-14,0.7674213372481635
diabetes_prevalence_pct,long_commute_pct,1765,0.061138613372748736,2.7487417819320137e-05,0.7674213372481635
lung_cancer_death_rate,median_household_income,1913,-0.44034618127617015,4.98827536757198e-36,0.5083806859540976
lung_cancer_death_rate,income_inequality_ratio,1913,-0.050417782936876765,0.03323260685842533,0.5083806859540976
lung_cancer_death_rate,unemployment_pct,1913,-0.05948253121119875,0.0037206688677938974,0.5083806859540976
lung_cancer_death_rate,child_poverty_pct,1913,0.13876577168497545,0.00011435301615461228,0.5083806859540976
lung_cancer_death_rate,hs_completion_pct,1913,-0.16972122616489865,1.989413229798306e-10,0.5083806859540976
lung_cancer_death_rate,broadband_access_pct,1913,0.07416999170052163,0.003848409943663067,0.5083806859540976
lung_cancer_death_rate,uninsured_pct,1913,-0.19150618044254572,4.016248848426662e-18,0.5083806859540976
lung_cancer_death_rate,pop_per_pcp,1913,-0.037411033829013556,0.07920561875430121,0.5083806859540976
lung_cancer_death_rate,pop_per_mental_health_provider,1913,0.04664171490340936,0.018225940765242688,0.5083806859540976
lung_cancer_death_rate,pm25,1913,0.013585477158313215,0.43950388417900754,0.5083806859540976
lung_cancer_death_rate,severe_housing_problems_pct,1913,-0.31211824668661053,4.912126417610675e-45,0.5083806859540976
lung_cancer_death_rate,food_environment_index,1913,-0.16006538122164868,1.6635782121955235e-09,0.5083806859540976
lung_cancer_death_rate,long_commute_pct,1913,0.238998163347197,1.8679625940861728e-31,0.5083806859540976
