tract_fips,food_insecurity_pct,housing_insecurity_pct,transportation_barrier_pct,uninsured_pct,depression_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP,food_insecurity_pct_pctile,housing_insecurity_pct_pctile,transportation_barrier_pct_pctile,uninsured_pct_pctile,depression_pct_pctile,RPL_THEMES_pctile,neonatal_risk_proxy_score
45019003700,32.2,23.7,15.2,16.7,20.3,0.9282,0.9456,0.8359,0.8798,0.7526,3161,1464,231,740,297,418,0.9387755102040817,0.923469387755102,0.9183673469387755,0.8979591836734694,0.2755102040816326,0.9489795918367347,0.8171768707482995
45019003106,22.3,17.5,11.2,13.8,22.2,0.8962,0.8512,0.9063,0.6549,0.7997,9178,3074,258,1234,1328,813,0.8061224489795918,0.8010204081632653,0.7908163265306123,0.826530612244898,0.7346938775510204,0.9081632653061225,0.8112244897959183
45019004000,41.4,29.6,19.3,17.1,19.5,0.8304,0.9346,0.428,0.9423,0.6221,2541,1284,62,421,454,281,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9183673469387755,0.1377551020408163,0.8673469387755102,0.8103741496598639
45019003300,31.2,23.7,14.8,18.4,19.7,0.9861,0.9618,0.742,0.8904,0.9947,3458,1308,140,550,894,471,0.9183673469387755,0.923469387755102,0.9081632653061225,0.9387755102040817,0.1683673469387755,0.9897959183673469,0.8078231292517007
45019000900,23.3,17.4,12.8,13.1,25.0,0.3947,0.9552,0.0602,0.5576,0.0443,1671,772,151,278,263,105,0.826530612244898,0.7857142857142857,0.8367346938775511,0.7857142857142857,0.9591836734693877,0.5714285714285714,0.79421768707483
45019003800,33.5,25.1,15.5,17.8,19.7,0.6159,0.8463,0.3696,0.9268,0.1909,3763,1297,102,516,646,408,0.9489795918367347,0.9489795918367347,0.9387755102040817,0.9285714285714286,0.1683673469387755,0.7448979591836735,0.7797619047619048
45019003900,24.3,18.4,12.0,16.9,20.1,0.8071,0.7529,0.2924,0.7136,0.9566,4049,719,21,257,189,720,0.8367346938775511,0.8367346938775511,0.8163265306122449,0.9081632653061225,0.23979591836734693,0.8571428571428571,0.7491496598639457
45019001100,18.3,14.0,10.1,11.0,24.3,0.5983,0.7413,0.377,0.6267,0.405,3006,1199,92,469,291,132,0.6989795918367347,0.7244897959183674,0.7142857142857143,0.6683673469387755,0.9489795918367347,0.7244897959183674,0.7465986394557823
45019004400,28.3,20.9,13.4,13.5,18.2,0.96,0.9243,0.7594,0.8189,0.9692,2443,838,100,390,283,249,0.8775510204081632,0.8877551020408163,0.8775510204081632,0.8112244897959183,0.05102040816326531,0.9693877551020408,0.7457482993197279
45019002402,29.6,20.6,14.0,13.5,20.6,0.5297,0.4154,0.6782,0.7732,0.4104,2718,1091,0,337,163,63,0.8979591836734694,0.8775510204081632,0.8979591836734694,0.8112244897959183,0.3163265306122449,0.6632653061224489,0.7440476190476191
45019003107,19.8,16.4,10.3,14.2,21.2,0.6255,0.7125,0.395,0.7992,0.4404,6367,1066,157,1017,1104,551,0.7551020408163265,0.7755102040816326,0.7346938775510204,0.8469387755102041,0.5306122448979592,0.7551020408163265,0.7329931972789115
45019000700,19.1,12.6,12.1,11.2,29.4,0.35,0.734,0.0027,0.3908,0.6903,2979,938,126,487,218,0,0.7397959183673469,0.6530612244897959,0.826530612244898,0.6887755102040817,1.0,0.4897959183673469,0.7329931972789115
45019002702,22.1,17.5,10.8,12.8,20.9,0.6954,0.8754,0.5116,0.6906,0.3378,5095,1457,172,795,599,763,0.7857142857142857,0.8010204081632653,0.7653061224489796,0.7653061224489796,0.42346938775510207,0.8112244897959183,0.7253401360544217
45019003113,18.3,15.5,9.6,14.1,21.1,0.8531,0.8273,0.4816,0.8164,0.8972,4851,1459,99,1124,1000,255,0.6989795918367347,0.7346938775510204,0.7040816326530612,0.8367346938775511,0.4846938775510204,0.8775510204081632,0.7227891156462585
45019000400,18.7,12.1,11.7,11.0,28.6,0.364,0.5655,0.0135,0.4645,0.7374,3462,994,38,669,100,66,0.7193877551020408,0.6326530612244898,0.8061224489795918,0.6683673469387755,0.9897959183673469,0.5204081632653061,0.7227891156462585
45019003108,22.6,19.2,11.2,13.0,20.1,0.7348,0.7857,0.3979,0.8659,0.6308,4561,1212,131,729,666,288,0.8163265306122449,0.8571428571428571,0.7908163265306123,0.7755102040816326,0.23979591836734693,0.8367346938775511,0.7193877551020408
45019001000,17.9,12.7,11.0,10.5,28.0,0.3475,0.7031,0.0069,0.3511,0.6391,2429,1087,58,625,112,125,0.6836734693877551,0.6683673469387755,0.7755102040816326,0.6326530612244898,0.9795918367346939,0.47959183673469385,0.7032312925170068
45019002612,17.2,13.6,9.1,10.8,22.0,0.4878,0.3785,0.4063,0.5498,0.6437,6336,1257,44,1003,526,155,0.673469387755102,0.7040816326530612,0.6836734693877551,0.6530612244897959,0.673469387755102,0.6530612244897959,0.673469387755102
45019003200,12.9,10.9,8.5,12.5,23.6,0.3898,0.489,0.1956,0.5628,0.3859,1786,265,21,170,26,37,0.576530612244898,0.5969387755102041,0.6530612244897959,0.7346938775510204,0.9081632653061225,0.5612244897959183,0.6717687074829932
