tract_fips,uninsured_pct,high_blood_pressure_pct,coronary_heart_disease_pct,smoking_pct,depression_pct,diabetes_pct,food_insecurity_pct,fair_poor_health_pct,housing_insecurity_pct,transportation_barrier_pct,loneliness_pct,physical_inactivity_pct,mental_distress_pct,obesity_pct,utility_shutoff_threat_pct,stroke_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019002702,12.8,36.1,5.4,13.5,20.9,14.0,22.1,20.5,17.5,10.8,34.8,26.0,16.9,35.1,11.6,4.1,0.6954,0.8754,0.5116,0.6906,0.3378,5095,1457,172,795,599,763
45019002801,7.4,29.2,4.8,9.2,21.6,9.4,8.7,12.3,7.8,5.1,28.7,17.0,13.8,27.7,5.1,2.7,0.0526,0.1274,0.0593,0.3438,0.1209,5033,468,28,566,200,60
45019002802,6.1,29.7,5.3,7.5,21.2,9.1,6.0,10.9,5.6,3.8,26.1,15.0,12.2,25.7,3.7,2.7,0.0248,0.1248,0.0541,0.1496,0.063,2443,150,50,151,177,21
45019002900,8.3,28.2,4.2,9.3,22.4,9.5,11.0,13.2,9.5,6.3,30.0,17.5,14.8,29.3,6.5,2.7,0.2612,0.4522,0.3612,0.4117,0.1082,2511,557,24,349,229,155
45019003000,5.9,26.9,4.5,7.1,22.1,8.0,6.1,10.3,5.6,4.0,26.6,14.2,12.6,25.4,3.9,2.3,0.0672,0.212,0.0623,0.1009,0.1449,3690,472,121,390,59,42
45019003104,26.5,29.9,5.1,15.9,21.7,12.9,31.9,26.0,24.2,15.4,36.6,31.6,18.9,36.0,15.1,3.4,0.9699,0.9111,0.7432,0.8468,0.991,5451,2572,72,952,1494,968
45019003105,27.7,35.3,6.3,18.3,21.3,16.3,36.9,29.6,27.4,17.2,35.5,36.0,18.8,39.8,18.4,4.3,0.9227,0.9144,0.8233,0.852,0.8137,3628,1492,67,632,1086,466
45019003106,13.8,36.2,6.3,14.9,22.2,14.5,22.3,21.6,17.5,11.2,33.0,27.1,17.4,35.7,12.3,4.1,0.8962,0.8512,0.9063,0.6549,0.7997,9178,3074,258,1234,1328,813
45019003107,14.2,29.1,4.3,11.9,21.2,10.7,19.8,17.6,16.4,10.3,35.5,23.2,17.3,32.2,10.3,2.9,0.6255,0.7125,0.395,0.7992,0.4404,6367,1066,157,1017,1104,551
45019003108,13.0,33.8,4.4,13.1,20.1,12.9,22.6,19.1,19.2,11.2,34.9,25.0,17.1,36.1,12.8,3.3,0.7348,0.7857,0.3979,0.8659,0.6308,4561,1212,131,729,666,288
45019003109,13.4,34.9,5.7,12.9,20.7,13.5,19.1,19.2,15.6,9.5,33.0,25.5,16.2,33.9,10.2,3.7,0.4574,0.3256,0.6176,0.6623,0.4412,3613,814,16,365,230,141
45019003110,20.5,37.4,6.8,16.6,20.9,15.9,28.8,25.9,21.9,13.6,34.9,31.9,17.7,37.2,14.5,4.5,0.9278,0.7762,0.9541,0.7911,0.8971,7014,2311,36,1202,1105,977
45019003111,14.8,31.9,4.2,12.0,18.9,11.8,21.3,18.4,17.9,10.2,36.4,24.5,16.3,33.2,10.6,3.2,0.5901,0.6822,0.3086,0.8375,0.4325,4626,797,19,781,1159,591
45019003113,14.1,26.6,3.7,11.0,21.1,9.6,18.3,16.3,15.5,9.6,35.4,22.0,17.1,31.0,9.5,2.5,0.8531,0.8273,0.4816,0.8164,0.8972,4851,1459,99,1124,1000,255
45019003115,14.8,32.3,6.1,14.2,24.0,12.5,24.7,21.9,17.9,13.0,35.8,27.9,19.5,33.4,12.6,3.8,0.9433,0.8199,0.9296,0.6716,0.955,8255,2987,84,1331,1403,522
45019003116,15.1,28.3,4.0,15.0,23.8,10.5,25.8,20.5,20.0,13.3,36.7,26.0,19.9,34.3,13.8,2.8,0.8571,0.9099,0.4069,0.7282,0.8612,4930,1588,258,1126,622,457
45019003117,9.7,34.5,5.8,11.1,20.8,12.8,14.8,16.6,12.4,7.9,30.9,22.1,15.0,31.8,8.5,3.6,0.3305,0.3824,0.4599,0.5546,0.2044,3425,840,30,449,286,43
45019003200,12.5,12.3,1.2,7.9,23.6,2.8,12.9,10.5,10.9,8.5,38.8,14.6,19.1,23.2,6.1,0.8,0.3898,0.489,0.1956,0.5628,0.3859,1786,265,21,170,26,37
45019003300,18.4,40.9,7.0,17.1,19.7,17.9,31.2,26.8,23.7,14.8,35.8,32.3,17.7,39.5,16.3,5.1,0.9861,0.9618,0.742,0.8904,0.9947,3458,1308,140,550,894,471
45019003400,24.0,35.7,6.3,19.7,22.5,15.8,37.1,29.3,27.0,18.1,36.0,34.8,20.0,40.0,19.5,4.4,0.9913,0.9724,0.9395,0.8268,0.9732,4932,2470,171,925,1488,588
45019003500,6.9,25.5,3.9,8.0,21.8,7.7,7.2,10.4,7.1,4.5,28.3,14.5,13.5,26.5,4.6,2.2,0.0046,0.1141,0.0495,0.1372,0.0061,3254,156,19,326,203,56
45019003600,10.3,25.6,3.8,10.8,23.1,8.4,13.0,13.9,11.2,7.3,31.7,18.3,16.1,29.5,7.3,2.3,0.3273,0.4743,0.017,0.4773,0.7144,3052,496,66,366,326,193
45019003700,16.7,42.2,7.1,17.0,20.3,18.8,32.2,27.2,23.7,15.2,35.7,33.1,18.0,40.0,17.0,5.4,0.9282,0.9456,0.8359,0.8798,0.7526,3161,1464,231,740,297,418
45019003800,17.8,44.1,7.5,18.3,19.7,19.4,33.5,28.7,25.1,15.5,37.2,34.9,18.3,40.6,17.3,5.8,0.6159,0.8463,0.3696,0.9268,0.1909,3763,1297,102,516,646,408
45019003900,16.9,36.7,6.6,17.0,20.1,14.1,24.3,23.3,18.4,12.0,34.1,28.4,17.0,35.6,12.6,4.2,0.8071,0.7529,0.2924,0.7136,0.9566,4049,719,21,257,189,720
45019004000,17.1,48.9,8.5,20.5,19.5,23.2,41.4,32.6,29.6,19.3,36.4,39.1,19.0,45.1,23.3,6.9,0.8304,0.9346,0.428,0.9423,0.6221,2541,1284,62,421,454,281
45019004300,21.5,50.4,9.7,25.8,21.2,25.3,50.6,38.9,36.0,24.6,38.0,43.9,21.4,48.2,29.3,7.8,0.8631,0.9057,0.3443,0.9127,0.8605,2198,1210,30,496,401,466
45019004400,13.5,46.7,8.2,14.8,18.2,20.3,28.3,26.3,20.9,13.4,34.2,32.4,16.0,39.3,15.3,6.1,0.96,0.9243,0.7594,0.8189,0.9692,2443,838,100,390,283,249
