year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,tract_fips
2023,SC,South Carolina,Charleston,45019,45019003115,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.5,11.1,14.0,7372,5826,"{'type': 'Point', 'coordinates': [-80.0612119, 32.9799447]}",45019003115,HLTHOUT,DIABETES,CrdPrv,Diabetes,45019003115
2023,SC,South Carolina,Charleston,45019,45019002105,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,10.2,8.6,12.0,2184,2106,"{'type': 'Point', 'coordinates': [-80.1681457, 32.5818931]}",45019002105,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,45019002105
2023,SC,South Carolina,Charleston,45019,45019002004,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,16.6,13.2,20.5,1595,1392,"{'type': 'Point', 'coordinates': [-79.935967, 32.6590742]}",45019002004,RISKBEH,LPA,CrdPrv,Physical Inactivity,45019002004
2023,SC,South Carolina,Charleston,45019,45019004607,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,17.6,14.3,21.2,5719,4865,"{'type': 'Point', 'coordinates': [-79.8922487, 32.7958351]}",45019004607,RISKBEH,LPA,CrdPrv,Physical Inactivity,45019004607
2023,SC,South Carolina,Charleston,45019,45019002611,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,5.4,4.6,6.3,3007,2553,"{'type': 'Point', 'coordinates': [-80.0393762, 32.8348212]}",45019002611,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,45019002611
2023,SC,South Carolina,Charleston,45019,45019005100,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,5.9,4.9,7.0,1639,1483,"{'type': 'Point', 'coordinates': [-79.9264498, 32.7866809]}",45019005100,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,45019005100
2023,SC,South Carolina,Charleston,45019,45019003900,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,7.9,6.7,9.2,2973,2675,"{'type': 'Point', 'coordinates': [-80.015879, 32.8491452]}",45019003900,HLTHOUT,COPD,CrdPrv,COPD,45019003900
2023,SC,South Carolina,Charleston,45019,45019004800,BRFSS,Disability,Any disability among adults,%,Crude prevalence,19.6,16.8,22.9,1891,1487,"{'type': 'Point', 'coordinates': [-79.8607661, 32.7629758]}",45019004800,DISABLT,DISABILITY,CrdPrv,Any Disability,45019004800
2023,SC,South Carolina,Charleston,45019,45019001902,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,7.3,6.6,8.0,4601,3909,"{'type': 'Point', 'coordinates': [-79.9653762, 32.7627874]}",45019001902,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,45019001902
2023,SC,South Carolina,Charleston,45019,45019002108,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,23.0,19.9,26.3,2742,2190,"{'type': 'Point', 'coordinates': [-80.1314358, 32.731955]}",45019002108,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support,45019002108
