Date,ACHC,BKNG,BUD,CELH,CRWD,DUOL,ELF,ETSY,EXPE,GOOGL,HIMS,KDP,LULU,LYV,MNST,NVDA,ONON,PANW,PEP,PLNT,RBLX,ROST,SAM,STZ,TAP,TJX,TTWO,VST
2019-06-05,33.29999923706055,69.13150024414062,75.46601104736328,1.3366669416427612,,,11.25,61.4900016784668,117.92252349853516,51.77292251586914,,23.727819442749023,173.52000427246094,61.95000076293945,32.01499938964844,3.505948781967163,,33.20166778564453,105.07913970947266,77.83999633789062,,88.55638122558594,309.8800048828125,164.5615692138672,47.250362396240234,46.65629959106445,111.55000305175781,21.094181060791016
2019-06-06,33.20000076293945,68.73434448242188,76.21822357177734,1.3366669416427612,,,11.84000015258789,61.959999084472656,117.87361145019531,51.927547454833984,,23.727819442749023,170.3800048828125,62.0099983215332,31.920000076293945,3.567988872528076,,32.92333221435547,106.32380676269531,78.91000366210938,,89.64714050292969,319.69000244140625,162.0623321533203,47.48900604248047,46.4192008972168,110.66999816894531,21.102750778198242
2019-06-07,33.90999984741211,69.65204620361328,77.32389068603516,1.2633329629898071,,,11.90999984741211,63.88999938964844,119.90794372558594,52.94899368286133,,23.711084365844727,172.49000549316406,62.189998626708984,32.959999084472656,3.610671281814575,,32.59000015258789,107.52413940429688,77.95999908447266,,92.44395446777344,320.3999938964844,165.79356384277344,46.88007354736328,47.349395751953125,111.6500015258789,20.83704376220703
2019-06-10,33.810001373291016,69.76290130615234,77.33296203613281,1.2666670083999634,,,12.329999923706055,65.30999755859375,119.07661437988281,53.66216278076172,,23.945348739624023,171.35000610351562,61.75,32.875,3.6833813190460205,,33.154998779296875,107.6208267211914,78.29000091552734,,91.59806823730469,317.9599914550781,168.92636108398438,45.04501724243164,47.08492660522461,111.77999877929688,20.665613174438477
2019-06-11,33.91999816894531,70.64456939697266,77.7679672241211,1.2666670083999634,,,12.550000190734863,67.18000030517578,120.35784149169922,53.57692337036133,,23.70271110534668,171.6300048828125,63.18000030517578,32.25,3.7409534454345703,,33.46500015258789,107.306640625,76.5999984741211,,92.0373764038086,333.55999755859375,171.56637573242188,44.95450973510742,47.47707748413086,110.29000091552734,21.059898376464844
2019-06-12,33.779998779296875,70.45929718017578,78.66519165039062,1.3233330249786377,14.5,,12.119999885559082,69.16999816894531,121.49237823486328,53.480777740478516,,23.828214645385742,170.88999938964844,63.38999938964844,32.040000915527344,3.628042459487915,,33.84166717529297,107.25830078125,78.66000366210938,,91.8878402709961,338.2099914550781,166.6031494140625,45.13552474975586,47.54092025756836,108.70999908447266,20.759891510009766
2019-06-13,33.849998474121094,70.87525177001953,77.87671661376953,1.340000033378601,16.889999389648438,,12.4399995803833,70.05000305175781,122.87141418457031,54.07103729248047,,23.945348739624023,174.52000427246094,64.25,30.299999237060547,3.6791627407073975,,34.244998931884766,107.09717559814453,79.56999969482422,,93.97217559814453,341.8500061035156,166.62074279785156,45.349491119384766,48.1701774597168,110.72000122070312,20.55742073059082
2019-06-14,33.029998779296875,69.54276275634766,76.29072570800781,1.3466670513153076,16.040000915527344,,12.239999771118164,67.80000305175781,124.02550506591797,53.83761215209961,,23.953712463378906,176.7100067138672,63.9900016784668,30.665000915527344,3.589329481124878,,33.88166809082031,106.927978515625,80.76000213623047,,94.3740463256836,339.010009765625,165.11595153808594,44.43608474731445,48.644405364990234,110.36000061035156,20.479877471923828
2019-06-17,34.0,69.77425384521484,76.41761016845703,1.3466670513153076,17.502500534057617,,12.420000076293945,68.45999908447266,124.27001190185547,54.21377944946289,,25.13341522216797,183.33999633789062,65.08999633789062,30.959999084472656,3.599008083343506,,34.16666793823242,106.75881958007812,80.9000015258789,,94.81336212158203,337.55999755859375,164.7639617919922,44.15629577636719,48.84503936767578,110.29000091552734,20.040475845336914
2019-06-18,34.20000076293945,70.8544921875,78.72863006591797,1.3566670417785645,19.125,,12.5600004196167,66.94999694824219,124.78836059570312,54.776283264160156,,25.15851402282715,188.02999877929688,66.30999755859375,31.059999465942383,3.7938106060028076,,34.224998474121094,106.38822937011719,80.22000122070312,,95.90692138671875,338.3900146484375,160.13510131835938,44.5265998840332,49.09126663208008,111.0199966430664,20.33341407775879
2019-06-19,34.040000915527344,72.14979553222656,79.68022155761719,1.3600000143051147,19.30500030517578,,12.75,68.13999938964844,126.7933578491211,54.74010467529297,,25.459714889526367,187.10000610351562,66.4800033569336,31.18000030517578,3.7997663021087646,,34.85333251953125,107.02466583251953,80.3499984741211,,96.62662506103516,338.3399963378906,162.20310974121094,44.97918701171875,49.37397766113281,111.0199966430664,20.52295684814453
2019-06-20,34.52000045776367,72.90377044677734,81.32964324951172,1.309999942779541,18.712499618530273,,13.15999984741211,68.83000183105469,126.75424194335938,55.170780181884766,,25.861312866210938,186.5,67.22000122070312,31.760000228881836,3.8240859508514404,,34.439998626708984,108.08000946044922,78.19000244140625,,97.73889923095703,342.75,163.45274353027344,45.24250793457031,49.09126663208008,111.54000091552734,20.841747283935547
2019-06-21,34.720001220703125,73.63581848144531,81.6377944946289,1.2899999618530273,18.0575008392334,,13.069999694824219,65.77999877929688,127.61492919921875,55.77394485473633,,25.643774032592773,181.8699951171875,66.69000244140625,31.889999389648438,3.766016960144043,,34.081668853759766,107.91888427734375,76.01000213623047,,97.16874694824219,346.3399963378906,161.68386840820312,45.604583740234375,48.27049255371094,112.63999938964844,20.764202117919922
2019-06-24,34.66999816894531,73.2758560180664,81.6377944946289,1.2466670274734497,16.99250030517578,,13.109999656677246,63.93000030517578,127.37041473388672,55.34424591064453,,25.074844360351562,182.63999938964844,66.58000183105469,31.780000686645508,3.788351058959961,,33.084999084472656,108.06390380859375,74.30999755859375,,96.13124084472656,349.25,159.51026916503906,45.63749694824219,48.13369369506836,113.83000183105469,20.583267211914062
2019-06-25,34.45000076293945,72.2833480834961,80.115234375,1.2566670179367065,15.380000114440918,,13.890000343322754,61.790000915527344,126.90094757080078,53.90104675292969,,24.74018096923828,177.25999450683594,66.47000122070312,31.665000915527344,3.7590692043304443,,33.09000015258789,107.79804229736328,71.30000305175781,,94.87879180908203,361.19000244140625,161.83352661132812,45.588138580322266,48.379920959472656,112.80999755859375,20.13524627685547
2019-06-26,34.310001373291016,71.68604278564453,79.18177032470703,1.3166669607162476,15.662500381469727,,13.8100004196167,60.36000061035156,124.85684204101562,53.54124069213867,,24.06247901916504,177.30999755859375,66.05000305175781,31.799999237060547,3.952134609222412,,33.26333236694336,106.59770202636719,71.6500015258789,,95.71064758300781,358.2699890136719,162.81910705566406,45.22605514526367,48.19753646850586,111.55000305175781,19.178890228271484
2019-06-27,34.33000183105469,72.2716064453125,79.02769470214844,1.3200000524520874,15.819999694824219,,14.210000038146973,62.36000061035156,127.28239440917969,53.358360290527344,,23.99555206298828,180.11000061035156,66.93000030517578,31.78499984741211,4.050652980804443,,34.14833450317383,106.09017181396484,73.12999725341797,,93.97217559814453,365.5299987792969,165.6263885498047,45.53052520751953,48.224910736083984,113.38999938964844,19.161651611328125
2019-06-28,34.95000076293945,73.42862701416016,80.21492004394531,1.4800000190734863,17.072500228881836,,14.100000381469727,61.369998931884766,130.1089324951172,53.66415023803711,,24.179611206054688,180.2100067138672,66.25,31.915000915527344,4.075468063354492,,33.959999084472656,105.63902282714844,72.44000244140625,,92.6449203491211,377.760009765625,173.30880737304688,46.08186340332031,48.224910736083984,113.52999877929688,19.506288528442383
2019-07-01,34.310001373291016,74.35728454589844,80.14241027832031,1.4066669940948486,15.800000190734863,,14.25,62.060001373291016,130.3143310546875,54.5165901184082,,24.664880752563477,179.9499969482422,67.16000366210938,32.3849983215332,4.123610973358154,,34.27166748046875,106.23518371582031,75.30000305175781,,92.51406860351562,380.29998779296875,172.56076049804688,46.33694839477539,48.297855377197266,115.95999908447266,19.609676361083984
