ticker,p_net_positive,p_lift,p_strong_lift,p_moderate_lift,p_neutral,p_moderate_crush,p_crush,p_severe_crush,median_cum_thematic,p10_cum,p90_cum,mean_cum_thematic,std_cum,p_top_quartile,p_bottom_quartile,company
FUN,0.6181,0.0615,0.0005,0.2767,0.5948,0.1285,0.0247,0.0007,0.017737117397840667,-0.0587906330028124,0.08668778376394375,0.015506676097780697,0.05684456299342384,0.2412,0.2227,Six Flags Entertainment
GOOGL,0.5792,0.06,0.0002,0.2536,0.5971,0.1493,0.0351,0.0004,0.012325021920007308,-0.06519190675167527,0.08582074381991582,0.010717351365738734,0.05886375698918284,0.2227,0.2548,Alphabet
LULU,0.5786,0.0579,0.0002,0.2435,0.6137,0.1428,0.0259,0.0003,0.011108498672155905,-0.06201382772645733,0.08373427637043987,0.010910236347519317,0.056964834363533896,0.2142,0.2472,Lululemon
TPX,0.6117,0.0579,0.0001,0.265,0.6135,0.1215,0.0192,0.0003,0.015529642552649178,-0.05577368307944092,0.0836421161304878,0.014817287889867635,0.05458957569438097,0.23,0.222,Tempur Sealy International
ETSY,0.5778,0.0553,0.0001,0.2413,0.6184,0.1403,0.0252,0.0004,0.010947253900955946,-0.060358280193177,0.08131418075866849,0.010585036525777986,0.0559947916693986,0.2098,0.2433,Etsy
BKNG,0.5687,0.0497,0.0003,0.2298,0.6174,0.1528,0.0321,0.0002,0.010490645614798288,-0.0651319802681316,0.07986630809134945,0.008155968189309998,0.056922076789695145,0.2003,0.2656,Booking Holdings
DUOL,0.5915,0.0488,0.0003,0.2397,0.6414,0.1189,0.0176,0.0001,0.012682958129400589,-0.05535017486835241,0.07996609070499941,0.012214434424238568,0.053268402631157494,0.2047,0.224,Duolingo
RMD,0.5821,0.0466,0.0001,0.229,0.6411,0.1299,0.0224,0.0002,0.011221198795127282,-0.05916722769542824,0.07826827132413493,0.010409689847063459,0.053958635889012695,0.2058,0.2429,ResMed
PINS,0.5773,0.0455,0.0001,0.2247,0.6357,0.1396,0.0263,0.0003,0.010189047581827242,-0.06180634539010504,0.0786995405799487,0.008911794814428473,0.05490286164431357,0.1947,0.248,Pinterest
AFRM,0.5971,0.0428,0.0001,0.2285,0.6588,0.1127,0.0149,0.0,0.012408930174734753,-0.05393752785790925,0.07748640642893022,0.012388745806579211,0.051119296393726275,0.1941,0.2127,Affirm
EXPE,0.5545,0.0424,0.0003,0.2161,0.6424,0.1415,0.0243,0.0001,0.007273335151828466,-0.06151566199963165,0.07710216350318964,0.007566959460556458,0.05406813391442144,0.1877,0.2602,Expedia Group
ACHC,0.5577,0.0408,0.0,0.2192,0.6317,0.1491,0.0274,0.0001,0.008462798544750624,-0.06351251308764379,0.07553067834486801,0.00708918642521312,0.054530914566547586,0.1906,0.2702,Acadia Healthcare
HIMS,0.5801,0.0387,0.0,0.2153,0.6663,0.1184,0.0146,0.0,0.009871996175362989,-0.05535526050295542,0.07487571994399839,0.009891534895986735,0.05072164865849299,0.1807,0.2288,Hims & Hers
ROST,0.54,0.0361,0.0001,0.1967,0.6576,0.1457,0.0225,0.0,0.005199490102817884,-0.06187759946157043,0.07160230074110681,0.0050726274825872225,0.052719827005300035,0.1738,0.2676,Ross Stores
TJX,0.5524,0.036,0.0,0.2054,0.6522,0.1424,0.0263,0.0002,0.0069385467509506015,-0.062287582979892696,0.07331360141025202,0.006260794689432769,0.05308450671621938,0.1804,0.258,TJX Companies
ELF,0.5619,0.0352,0.0001,0.2054,0.6631,0.1315,0.0215,0.0,0.008267994160877229,-0.0585936466919927,0.07394930521042366,0.007497022147374068,0.05191056793561815,0.1784,0.2508,e.l.f. Beauty
WING,0.5342,0.0271,0.0001,0.1687,0.6866,0.1447,0.0181,0.0,0.003929575313613173,-0.06071385240907532,0.06625528707665967,0.0030863729042282747,0.04969481948241009,0.151,0.2773,Wingstop
VST,0.5498,0.0252,0.0,0.1689,0.7083,0.1228,0.0127,0.0,0.006228645201072884,-0.056055350970026625,0.0660116656831609,0.00528955561226289,0.047576920985579266,0.1452,0.2496,Vista Outdoor / Revelyst
DPZ,0.5308,0.0243,0.0001,0.1737,0.685,0.1413,0.0182,0.0,0.003590433542522321,-0.060155619982072965,0.0665867929616622,0.0034528534656589607,0.04937901972516831,0.1499,0.2686,Domino's Pizza
NFLX,0.5209,0.0216,0.0001,0.1586,0.699,0.1424,0.0182,0.0,0.0023552444181152966,-0.06052730561712784,0.06387738610582232,0.0020346629330438557,0.048480842310657336,0.1407,0.2752,Netflix
MTCH,0.3026,0.0196,0.0002,0.1006,0.5301,0.3693,0.1207,0.0022,-0.029916353362576933,-0.10642533243831845,0.05009852986948572,-0.02939939166065934,0.061109362497206346,0.0873,0.525,Match Group
BMBL,0.3459,0.0182,0.0003,0.1064,0.5788,0.3148,0.0823,0.0005,-0.022537867902283328,-0.09386258253579058,0.05183807022607963,-0.021595796328622754,0.05711640764731007,0.091,0.4612,Bumble
SAM,0.4752,0.0176,0.0,0.145,0.6766,0.1784,0.0282,0.0,-0.0033342753383246862,-0.06692771003991668,0.060134921025380206,-0.003209390414662067,0.04994768577618085,0.1235,0.3164,Boston Beer
TAP,0.3543,0.0106,0.0001,0.0933,0.6301,0.2766,0.0609,0.0001,-0.019780326583792897,-0.08540780379979333,0.04799879903939459,-0.019179890185610664,0.051783537264445186,0.0801,0.4457,Molson Coors
BUD,0.3247,0.01,0.0,0.0799,0.606,0.3141,0.0712,0.0004,-0.024020121242911238,-0.09030567997383822,0.04389645920380321,-0.02363564772717791,0.052417713138527826,0.0708,0.4755,Anheuser-Busch InBev
STZ,0.3422,0.0079,0.0,0.0806,0.6295,0.2899,0.0623,0.0,-0.02230396865008807,-0.08732616087225621,0.044085498278387404,-0.021627717268237156,0.051010891230831676,0.0692,0.4645,Constellation Brands
